"DVD_Title","Studio","Released","Status","Sound","Versions","Price","Rating","Year","Genre","Aspect","UPC","DVD_ReleaseDate","ID","Timestamp","Updated"
"Step Party 2: Lets Step It Up Workout With Katina Hunter","Katina Hunter Productions",,"Out","2.0","4:3",19.99,"NR","2008","Exercise","1.33:1","804879115090",2009-01-20 00:00:00,149073,2008-11-14 00:00:00,1
"Stripper Academy","Desire",,"Out","5.1","LBX, 16:9",16.98,"NR","2007","Comedy","1.78:1","824355529821",2009-01-20 00:00:00,149048,2008-11-14 00:00:00,1
"Terms Of Endearment (Special Edition)","Paramount",,"Out","5.1","LBX, 16:9",14.99,"PG","1983","Drama","1.85:1","097361398242",2009-01-20 00:00:00,147869,2008-10-24 00:00:00,1
"Terms Of Endearment (Special Edition/ Checkpoint)","Paramount",,"Out","5.1","LBX, 16:9",14.99,"PG","1983","Drama","1.85:1","097361398228",2009-01-20 00:00:00,147859,2008-10-24 00:00:00,1
"This American Life: Season 2 (Borders Exclusive)","Paramount",,"Out","2.0","LBX",19.98,"NR","2008","TV Classics","1.85:1","032429050717",2009-01-20 00:00:00,152706,2009-01-11 00:00:00,1
"This Is Not A Test (2008)","Image",,"Out","5.1","LBX, 16:9",27.98,"NR","2008","Comedy","1.85:1","014381518627",2009-01-20 00:00:00,146932,2008-10-10 00:00:00,1
"Three Stooges (Madacy/ 4-Disc/ Collector's Tin)","Madacy",,"Out","2.0","4:3",19.98,"NR","VAR","Comedy","1.33:1","628261065790",2009-01-20 00:00:00,151642,2008-12-25 00:00:00,1
"Tokio Hotel TV: Caught On Camera","Island Records",,"Out","2.0","4:3",22.99,"NR","UNK","Music","1.33:1","602517916432",2009-01-20 00:00:00,152532,2009-01-03 00:00:00,1
"Trapped In 5150","DistraMax",,"Out","2.0","4:3",14.98,"NR","UNK","Action/Adventure","1.33:1","876122002013",2009-01-20 00:00:00,148648,2008-11-09 00:00:00,1
"Triage: Dr. James Orbinski's Humanitarian Dilemma","New Video",,"Out","2.0","4:3",26.95,"NR","2007","Documentary","1.33:1","767685138618",2009-01-20 00:00:00,145310,2008-09-14 00:00:00,1
"Tsukihime, Lunar Legend (A.D. Vision): The Complete Collecton","A.D. Vision",,"Out","SUB","LBX, 16:9",44.98,"MA15","2003","Anime","1.85:1","702727188428",2009-01-20 00:00:00,149160,2008-11-15 00:00:00,1
"U.S. Seals: Dead Or Alive","First Look",2009-04-07 00:00:00,"Pending","2.0","4:3",9.98,"NR","UNK","Action/Adventure","1.33:1","687797319296",2009-04-07 00:00:00,153347,2009-01-20 00:00:00,0
"Unfaithful (Widescreen/ Blu-ray)","Fox",,"Out","5.1","LBX, 16:9, BLU-RAY",29.99,"R","2002","Drama","1.85:1","024543563679",2009-01-20 00:00:00,146994,2008-11-04 00:00:00,1
"Vacancy 2: The First Cut","Sony Pictures",,"Out","2.0","LBX, 16:9",24.96,"R","2009","Horror","1.85:1","043396274433",2009-01-20 00:00:00,148554,2008-11-15 00:00:00,1
